1091,9,6,20,23,24,28,30,44,109335581
1090,11,12,19,21,29,40,45,1,108364862
1089,9,4,18,31,37,42,43,40,108725932
1088,11,11,21,22,30,39,44,31,109089305
1087,16,13,14,18,21,34,44,16,113960897
1086,17,11,16,25,27,35,36,37,109250306
1085,23,4,7,17,18,38,44,36,106249975
1084,15,8,12,13,29,33,42,5,109818924
1083,15,3,7,14,15,22,38,17,108995141
1082,7,21,26,27,32,34,42,31,107566880
1081,11,1,9,16,23,24,38,17,106974323
1080,7,13,16,23,31,36,44,38,104111986
1079,9,4,8,18,24,37,45,6,103120206
1078,12,6,10,11,14,36,38,43,105407618
1077,7,4,8,17,30,40,43,34,105927489
1076,9,3,7,9,33,36,37,10,103168694
1075,9,1,23,24,35,44,45,10,105635232
1074,12,1,6,20,27,28,41,15,105744157
1073,11,6,18,28,30,32,38,15,107352123
1072,12,16,18,20,23,32,43,27,108156654
1071,5,1,2,11,21,30,35,39,107362630
1070,14,3,6,14,22,30,41,36,107222802
1069,14,1,10,18,22,28,31,44,108388892
1068,19,4,7,19,26,33,35,3,108988932
1067,13,7,10,19,23,28,33,18,110703299
1066,15,6,11,16,19,21,32,45,106440950
1065,14,3,18,19,23,32,45,24,108181727
1064,19,3,6,9,18,22,35,14,109427584
1063,7,3,6,22,23,24,38,30,108347135
1062,7,20,31,32,40,41,45,12,107109911
1061,11,4,24,27,35,37,45,15,109909344
1060,28,3,10,24,33,38,45,36,110677185
1059,13,7,10,22,25,34,40,27,110846824
1058,13,11,23,25,30,32,40,42,112041382
1057,17,8,13,19,27,40,45,12,112523887
1056,14,13,20,24,32,36,45,29,113279615
1055,11,4,7,12,14,22,33,31,112488256
1054,9,14,19,27,28,30,45,33,113660567
1053,7,22,26,29,30,34,45,15,113721665
1052,11,5,17,26,27,35,38,1,107565461
1051,18,21,26,30,32,33,35,44,119243907
1050,17,6,12,31,35,38,43,17,108072602
1049,15,3,5,13,20,21,37,17,108444724
1048,17,6,12,17,21,32,39,30,117323901
1047,9,2,20,33,40,42,44,32,103058179
1046,12,7,16,25,29,35,36,28,100923993
1045,13,6,14,15,19,21,41,37,105380282
1044,8,12,17,20,26,28,36,4,102891973
